constituency_id,election_year,district,registered_voters,votes_cast,turnout_pct,margin,source_url,fetched_at
GBA-1,2020,Gilgit,35992,,,2822,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-2,2020,Gilgit,41108,24661,60.0,4,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-3,2020,Gilgit,41360,26461,63.98,2195,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-4,2020,Nagar,23171,14837,64.03,425,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-5,2020,Nagar,14001,,,720,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-6,2020,Hunza,43603,23060,52.89,2014,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-7,2020,Skardu,17127,,,1452,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-8,2020,Skardu,39567,22182,56.06,938,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-9,2020,Skardu,25562,,,1099,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-10,2020,Skardu,26839,17702,65.96,1372,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-11,2020,Kharmang,26869,,,3717,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-12,2020,Shigar,36183,24804,68.55,1788,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-13,2020,Astore,33378,16298,48.83,1719,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-14,2020,Astore,29023,15513,53.45,1881,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-15,2020,Diamer,35185,22237,63.2,404,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-16,2020,Diamer,35405,21458,60.61,2237,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-17,2020,Diamer,29955,12870,42.96,263,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-18,2020,Diamer,18907,9669,51.14,807,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-19,2020,Ghizer,37808,,,1241,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-20,2020,Ghizer,42533,,,1777,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-21,2020,Ghizer,34973,20053,57.34,904,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-22,2020,Ghanche,29104,17169,58.99,1106,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-23,2020,Ghanche,27522,15393,55.93,370,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
GBA-24,2020,Ghanche,20187,12251,60.69,845,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,2026-05-26T15:19:37Z
