constituency_id,area_name,total_voters_2026,male_voters_2026,female_voters_2026,source
GBA-1,Gilgit-I,47373,25412,21961,ECGB Final Electoral Roll 2026
GBA-2,Gilgit-II,55849,29839,26010,ECGB Final Electoral Roll 2026
GBA-3,Gilgit-III,52161,27351,24810,ECGB Final Electoral Roll 2026
GBA-4,Nagar-I,29973,15713,14260,ECGB Final Electoral Roll 2026
GBA-5,Nagar-II,18300,9667,8633,ECGB Final Electoral Roll 2026
GBA-6,Hunza,52041,26453,25588,ECGB Final Electoral Roll 2026
GBA-7,Skardu-I,21649,11198,10451,ECGB Final Electoral Roll 2026
GBA-8,Skardu-II,52492,28146,24346,ECGB Final Electoral Roll 2026
GBA-9,Skardu-III,33679,17808,15871,ECGB Final Electoral Roll 2026
GBA-10,Skardu-IV,34927,18806,16121,ECGB Final Electoral Roll 2026
GBA-11,Kharmang,34344,17974,16370,ECGB Final Electoral Roll 2026
GBA-12,Shigar,46594,24978,21616,ECGB Final Electoral Roll 2026
GBA-13,Astore-I,44056,23681,20375,ECGB Final Electoral Roll 2026
GBA-14,Astore-II,36921,19572,17349,ECGB Final Electoral Roll 2026
GBA-15,Diamer-I,44526,22269,22257,ECGB Final Electoral Roll 2026
GBA-16,Diamer-II,46282,24328,21954,ECGB Final Electoral Roll 2026
GBA-17,Diamer-III,41045,20827,20218,ECGB Final Electoral Roll 2026
GBA-18,Diamer-IV,26861,14231,12630,ECGB Final Electoral Roll 2026
GBA-19,Ghizer-I,46136,23965,22171,ECGB Final Electoral Roll 2026
GBA-20,Ghizer-II,52733,27788,24945,ECGB Final Electoral Roll 2026
GBA-21,Ghizer-III,43075,22850,20225,ECGB Final Electoral Roll 2026
GBA-22,Ghanche-I,36553,19250,17303,ECGB Final Electoral Roll 2026
GBA-23,Ghanche-II,35762,18729,17033,ECGB Final Electoral Roll 2026
GBA-24,Ghanche-III,25148,12937,12211,ECGB Final Electoral Roll 2026
